area,project_hotel_count,hotels_attempted,hotels_with_reviews,hotels_with_text_reviews,review_n,text_review_n,low_n,mixed_n,high_n
Akyarlar,16,1,1,1,10.0,10.0,2.0,0.0,8.0
Bitez,18,0,0,0,0.0,0.0,0.0,0.0,0.0
Bodrum Merkez,13,0,0,0,0.0,0.0,0.0,0.0,0.0
Göltürkbükü,10,1,0,0,0.0,0.0,0.0,0.0,0.0
Gümbet,15,2,1,1,10.0,10.0,2.0,1.0,7.0
Gümüşlük,15,0,0,0,0.0,0.0,0.0,0.0,0.0
Gündoğan,14,1,0,0,0.0,0.0,0.0,0.0,0.0
Güvercinlik,10,3,2,2,20.0,20.0,6.0,4.0,10.0
Kadıkalesi,4,1,0,0,0.0,0.0,0.0,0.0,0.0
Ortakent-Yahşi,21,0,0,0,0.0,0.0,0.0,0.0,0.0
Torba,21,0,0,0,0.0,0.0,0.0,0.0,0.0
Turgutreis,7,1,1,1,10.0,10.0,2.0,0.0,8.0
Türkbükü,6,0,0,0,0.0,0.0,0.0,0.0,0.0
Yalıkavak,22,0,0,0,0.0,0.0,0.0,0.0,0.0
